Column,Missing_Count,Missing_Percent
Angular_Mean,2,0.47393364928909953
Angular_Variance,2,0.47393364928909953
GLCM_Entropy,1,0.23696682464454977
GLCM_Homogeneity,1,0.23696682464454977
LBP_Entropy,1,0.23696682464454977
LBP_Mean,1,0.23696682464454977
LBP_Variance,1,0.23696682464454977
Spectral_Entropy,2,0.47393364928909953
Statistical_Entropy,1,0.23696682464454977
PatientID,0,0.0
age,22,5.213270142180095
clinical.T.Stage,1,0.23696682464454977
Clinical.N.Stage,0,0.0
Clinical.M.Stage,0,0.0
Overall.Stage,1,0.23696682464454977
Histology,42,9.95260663507109
gender,0,0.0
Survival.time,0,0.0
deadstatus.event,0,0.0
