Feature,Stable_Comparisons,Total_Comparisons,Stability_Percent,Mean_Change_Percent,Median_Change_Percent,Maximum_Change_Percent,Final_Decision
Angular_Mean,1662,1680,98.92857142857143,1.815179316906788,1.1586353616985727,17.73920986196566,STABLE
Angular_Variance,1543,1680,91.84523809523809,3.92223657238815,2.3705159070385218,72.38197798068757,STABLE
Dominant_Frequency,488,1680,29.04761904761905,25.183726890810714,17.054907112522343,240.7526439213729,UNSTABLE_EXCLUDE
Dominant_Orientation,1049,1680,62.44047619047619,11.240263451644232,6.751491946164716,210.74358278558262,UNSTABLE_EXCLUDE
Fundamental_Period,714,1680,42.5,15.442287296849806,11.584641950266205,138.04573770524252,UNSTABLE_EXCLUDE
GLCM_Contrast,583,1680,34.70238095238095,24.545607017027343,14.338346186727657,396.8770467556513,UNSTABLE_EXCLUDE
GLCM_Correlation,1006,1680,59.88095238095238,20.433015207254414,7.3698380576888445,3459.2498382377316,UNSTABLE_EXCLUDE
GLCM_Energy,807,1680,48.035714285714285,41.77765209091383,10.650933323895801,1936.702295788173,UNSTABLE_EXCLUDE
GLCM_Entropy,1509,1680,89.82142857142857,4.314112916794329,2.181845622524762,63.50635267911853,STABLE
GLCM_Homogeneity,1377,1680,81.96428571428571,6.270676377324088,4.287535823120539,59.85931287672015,STABLE
GLCM_Maximum_Probability,978,1680,58.214285714285715,20.804262128800275,7.687195388055579,970.7055642696458,UNSTABLE_EXCLUDE
LBP_Entropy,1424,1679,84.81238832638476,5.725339377339216,2.6860163185455934,100.0,STABLE
LBP_Mean,1631,1679,97.14115544967242,2.2361759396112393,0.8849852149162195,93.76673767521658,STABLE
LBP_Uniformity,705,1679,41.98927933293627,36.2405731761167,12.940063684939657,1124.503311258278,UNSTABLE_EXCLUDE
LBP_Variance,1547,1679,92.13817748659918,3.2896986102946535,0.9227663872358082,100.0,STABLE
Radial_Mean,796,1680,47.38095238095238,12.872592539092228,10.486677677901149,94.63267136125488,UNSTABLE_EXCLUDE
Radial_Variance,914,1680,54.4047619047619,11.033674027476748,9.1455095897633,73.19653214583953,UNSTABLE_EXCLUDE
Spectral_Energy,195,1680,11.607142857142858,27.01335987618579,22.42525974113965,191.02719883944258,UNSTABLE_EXCLUDE
Spectral_Entropy,1678,1680,99.88095238095238,2.4012873351698336,2.034664758737294,13.599064828283755,STABLE
Statistical_Entropy,1599,1680,95.17857142857142,2.7822061378043204,1.3364376874440218,68.64927553609967,STABLE
Statistical_Mean,1329,1680,79.10714285714285,13.80246578007189,3.0148876141546737,1185.993559678197,UNSTABLE_EXCLUDE
Statistical_Smoothness,1096,1680,65.23809523809524,13.350002524009664,6.093083576605263,779.3016999014212,UNSTABLE_EXCLUDE
Statistical_Third_Moment,880,1680,52.38095238095239,36.56928704771294,8.887375950024005,3533.5323145728566,UNSTABLE_EXCLUDE
Statistical_Uniformity,1336,1680,79.52380952380952,7.379458828114547,3.900461448310888,172.43572401265718,UNSTABLE_EXCLUDE
Statistical_Variance,1151,1680,68.51190476190476,10.865216853997929,5.774990680998802,610.9935564606681,UNSTABLE_EXCLUDE
